Company_Name	City	Revenues
Pasqua	Campbell	540000
Management Associates	Los Gatos	450000
Onlive! Technologies	Fremont	800900
Genesys Telecommunications	Palo Alto 670900
Pepperdine U	Los Angeles	120900
California Federal Bank	Fremont	800900
Ketchum Communications	Fremont	240900
Boalt Hall - UC at Berkeley	Cupertino	450900
Sanwa Bank	Los Gatos	309899
marvin orphanage	Campbell	780900
EPRI	San Jose	560900
Netcentives	Fremont	450900
Halcyon Software	Fremont	230800
KP Consulting	San Jose	345000
Olympic Club	Campbell	450900
Guardian Health Group	San Jose	120000
Systems Consulting Consortium, Inc.	230900
B2B Connect, Inc.	Los Gatos	300900
Heidrick & Struggles	Fremont	230900
Crown Services, Inc.	Cupertino	340900
Food.Com	Los Gatos	450900
Washington Hospital	Palo Alto	450900
World Industries	Campbell	560900
PPM	San Jose	120900
Assante	Fremont	450900
Alibris	Los Gatos	450900
Muse Communications Corporation	Palo Alto	560900
CNET	Fremont	450900
StarMedia Networks	Cupertino	700900
GreenTree Nutrition	Fremont	340900
MDTSC	Campbell	120900
SOF Inc.	San Jose 500900
Idea Factory	Fremont	560900
International Asset Systems	Cupertino	450900
Shop2gether.Com	Fremont	120900
UC Irvine	Los Angeles	450800
EHow	Fremont	700900
Tradewind Corporation	Cupertino	340900
ThemeWare	San Jose	466000
Transamerica	San Francisco	120900
Signet Assurance Company	Santa Clara 900000
Knowlegis.Com	Campbell	980000
Northbay Healthcare System	Santa Clara	455000
Prio, Inc.	Cupertino	120000
Wall Street Journal	Palo Alto	240000
BoldFish	Los Gatos	450000
IMom.Com, Inc.	Santa Clara	670000
Debates.Com	Campbell	800900
Theirishplace.Com	Fremont	455000
Onlineasset.Com	Los Gatos	670000
John Hancock Mutual Life Insurance Company	900877
Marketing Plus	San Jose	900877
Sydran Services	Fremont	800900
WFN - Financial Network For Women 790800
CookePharma	Los Gatos	Campbell	455000
PayMyBills.Com, Inc.	Fremont	349000
Salick Healthcare	Gilroy	120000
NBCi	Fremont	110000
WB Mason	Santa Clara	600900
Delta Dental	San Jose	700900
Global Medical Supply	Fremont	700900
Sutter Delta Medical Center	Fremont	455000
VentureOne	Los Gatos	600900
Pinnacle Composite Solutions	Fremont	500900
World Telehealth	Campbell	455000
LGES	Santa Clara	800900
Star Age Music	Gilroy	700900
Healtheon/WebMD	San Jose	700900
SalesLink Corp	Los Gatos	670900
CSC Consulting Group	Santa Clara	670900
Consumer Health Interactive	Fremont	344000
Inspiria.Com	Campbell	560900
Ship4.Com	San Jose	670900
Bestoffer.Com	Santa Clara	344000
Gordon Brothers Group	455000
Localmusic.Com	San Jose	600900
Imammogram.Com	Los Gatos	700900
San Francisco Bicycle Coalition	San Francisco	560900
Professional Exhibits & Graphics	Santa Clara	455000
Digi-Block, LLC	Campbell	433000
Ulico Insurance Group	Gilroy	450900
DeVine Consulting	San Jose	670900
Sony Music Incubator	Santa Clara 455000
Agua Caliente Band Of Cahuilla Indians	Fremont	560800
Pohly And Partners	Fremont	450900
Examen	Los Gatos	560900
Vivant	Campbell	450900
Sebastiani	Santa Clara	450900
Lifeline Systems Inc.	Fremont	230900
Goodwill Industries Of San Francisco	San Francisco	560900
Autostory	Los Gatos	670900
Boston Financial Data Services	Boston	450900
Gemstone	Santa Clara	340900
Fidelity Investments	Gilroy	234000
Green Market Services	120900
Maverick Media	Santa Clara	600900
Cambridge Executive Enterprises, Inc.	Fremont	560900
Digitas	Campbell	Santa Clara	450900
Big Bear	Fremont	900800
Monster Cable	Los Gatos	120000
Dynamic Digital Depth Inc.	Fremont	340900
WeVest	Campbell	700900
LSI LOGIC	San Jose	450900
Loomis Sayles Inc.	Gilroy	340000
Buzzsaw	Santa Clara	340000
Preston Productions, Inc.	Fremont	566000
BidVantage, Inc	Santa Clara	455000
ESupportNow, Inc.	San Jose	677000
San Francisco Chamber Of Commerce	Gilroy	344000
State Street Research	Gilroy	233000
Nextdoor Networks, Inc.	344000
Mayfield Fund	San Jose	200122
Danielle Roman	Campbell	344000
AXA Client Solutions 344000
SPL WorldGroup	Los Gatos	120000
Spiderdance	San Jose	455000
Larkin Street Youth Center	Gilroy	344000
CoRelation	San Jose	455000
BroadVision	Campbell	500900
PMPM Consulting Group, Inc.	Fremont	344000
Sunset Publishing Corporation	Fremont	455000
IXL	San Jose	455000
Dionex Corporation	Gilroy	450900
State Compensation Insurance Fund	400900
California College Of Podiatric Medicine	Gilroy	500900
Instuction Set, Inc.	600900
Vibco, Inc.	San Jose	700900
ABC Consulting, Inc.	600900
KorTeam International, Inc.	300900
Manufacturers' Services Ltd.	San Jose	700900
Healthcare Automation	Gilroy	800900
Citadon	San Jose	780000
Carol Franc Buck Breast Cancer Center (UCSF)	700000
Campsix	Fremont	670000
Zions Management Services	Gilroy	700900
Wells Fargo Fund Management LLC	San Francisco	600900
Public Advocates, Inc.	Fremont	780000
HP Hood	Gilroy	670000
Buylink	San Jose	700900
Entercomm	Fremont	570000
Zoza	Campbell	560000
Paul Medved Attorney At Law	Gilroy	670000
Seagate Properties, Inc.	Fremont	670000
Marin Catholic	San Jose	670000
The Leadership Equation Institute	560000
The Holmes Group	Fremont	670000
Ellis Partners/CAC Real Estate	Gilroy	560000
Pacific Gas And Electric	Fremont	450800
Food On Foot	Campbell	200300
QRS Corporation	San Jose	120000
UCLA	Los Angeles	600000
Rood Structures, Inc.	Fremont	500000
Regale	Gilroy	450000
Ocular Sciences	Campbell	230700
Nevada Ventures	Gilroy	120900
Gunderson Dettmer	San Jose	458900
Whole Foods Market	Campbell	670900
Consumer Credit Counseling Services	San Francisco	800900
General Dynamics	Gilroy	450000
Silicon Energy	San Jose	344000
SiliCycle, Inc.	Santa Clara	560000
Student Advantage	Cupertino	380000
Ulysses Learning Corporation	Oakland	560000
BioRemote	Palo Alto	899000
Blue Cross Of California	San Jose	900000
BrassRing, Inc.	Santa Clara	560000
San Jose Medical Center	San Jose	450000
KeyBank	San Jose	780000
Health Net, Inc	Santa Clara	340000
Cocoa Pete's	Morgan Hill	450000
ATALX Corporation	Gilroy	450000
The Stuart Foundation	Palo Alto 120000
